"Qty","Value","Part Num","Package","Parts"
"1","","*","1X03","JP1"
"5","1k","P1.00KHCT-ND","0603","R2, R3, R8, R10, R11"
"8","1uF","1276-2396-1-ND","0805","C1, C2, C10, C14, C17, C24, C79, C96"
"2","1x10 Header","609-3550-ND","1X10","JP2, JP3"
"1","2.8k","P2.80KHCT-ND","0603","R25"
"1","4.99k","P4.99KHCT-ND","0603","R24"
"2","8.2pF","1276-1257-1-ND","0603","C23, C38"
"1","9.1k","P9.10KHCT-ND","0603","R9"
"9","10k","P10.0KHCT-ND","0603","R12, R13, R14, R15, R16, R17, R22, R26, R27"
"2","10nF","1276-1921-1-ND","0603","C43, C44"
"4","10pF","1276-2154-1-ND","0603","C64, C65, C66, C67"
"32","10uF","1276-2890-1-ND","0805","C9, C11, C12, C13, C15, C16, C26, C30, C31, C33, C39, C40, C41, C42, C45, C46, C48, C50, C52, C53, C55, C58, C59, C68, C69, C74, C76, C78, C80, C84, C86, C88"
"3","18k","P18.0KHCT-ND","0603","R4, R7, R23"
"4","47nF","1276-1063-1-ND","0603","C18, C19, C34, C35"
"4","47uF","445-8047-1-ND","1206","C3, C4, C5, C6"
"1","49.9R","P49.9HCT-ND","0603","R5"
"2","52.3R","P52.3HCT-ND","0603","R1, R6"
"2","74ACT157D","296-38062-1-ND","SO16","IC6, IC7"
"1","78L05F","MC78L05ACHXCT-ND","SOT89","IC9"
"36","100nF","1276-1936-1-ND","0603","C7, C8, C20, C21, C25, C27, C28, C29, C36, C47, C49, C51, C54, C56, C57, C60, C61, C70, C71, C72, C73, C75, C77, C81, C82, C83, C85, C87, C89, C90, C91, C92, C93, C94, C95, C97"
"4","100pF","1276-1909-1-ND","0603","C22, C37, C62, C63"
"2","178k","P178KHCT-ND","0603","R19, R21"
"2","220uF","PCE3955CT-ND","PANASONIC_F","CP1, CP3"
"2","365k","P365KHCT-ND","0603","R18, R20"
"1","390nH","445-6240-1-ND","0603","L5"
"1","AD5762R","AD5762RCSUZ-ND","TQFP-32","IC2"
"2","AD8319","AD8319ACPZ-R7CT-ND","LFCSP-CP-8-1","U1, U2"
"2","AD8429","AD8429ARZ-ND","SO08","U6, U10"
"1","ADA4004-1","ADA4004-1ARJZ-R7CT-ND","SOT23-5L","IC4"
"1","ADC-10-4","ADC-10-4+","BH292","RF2"
"1","ADEX-R10","ADEX-R10+","BH292","RF1"
"3","ADG5419","ADG5419BRMZ-RL7CT-ND","MSOP8","U5, U7, U11"
"1","ADM7150","ADM7150ARDZ-3.0-ND","SO08","IC3"
"1","ADM7150","ADM7150ARDZ-5.0-ND","SO08","IC1"
"1","ADP-2-4","ADP-2-4+","BH292","RF6"
"4","BNC-H","A32260-ND","BNC90","EXT_SERVO, EXT_VCO_TUNE, OUTPUT_TTL, RF_INPUT_TTL"
"1","DAT-31R5A-SN","DAT-31R5A-SN+","DG983","RF7"
"1","DNP","*","0603","C32"
"1","DNP","*","0603","R28"
"29","Ferrite 1k","445-5223-1-ND","0805","L1, L2, L3, L4, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L29, L30, L31"
"1","JTOS-100","JTOS-100+","BK377","VCO1"
"1","JUMPER","*","JUMP","J1"
"1","L7905","MC79L05ACHXCT-ND","SOT-89","IC8"
"2","M3SWA-2-50DR","M3SWA-2-50DR+","DL805","RF4, RF8"
"1","PMA-5452","PMA-5452","DQ849","RF3"
"1","RLP-105+","RLP-105+","PL-176","RLP1"
"2","Ribbon Header","S9171-ND","ML16","SV1, SV2"
"4","SMAJ502","J502-ND","SMA-EDGE","EXT_RF, MON, RF_FEEDBACK, RF_OUT"
"1","TCCH-80","TCCH-80","GU1604","U3"
"1","TEENSY_3.1_ALL_PINS_AND_PADS","*","TEENSY_3.1_ALLPINS","TEENSY"
"1","TPS7A4901","296-27751-1-ND","DGN","U4"
